"tid","geom","id_0","id","name","prefecture","address","country","product","product_na","quality","activity","duration","addrtype","addrlocat"
34,"0104000020E61000000100000001010000009422E81EC8DC3740BBFC3D67C1014340",34,"57","Α.Β. ΒΑΣΙΛΟΠΟΥΛΟΣ Α.Ε.","ΑΤΤΙΚΗΣ","Γέρακα του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","30.11.2014 έως 29.11.2017","route","GEOMETRIC_CENTER"
35,"0104000020E61000000100000001010000009422E81EC8DC3740BBFC3D67C1014340",35,"58","Α.Β. ΒΑΣΙΛΟΠΟΥΛΟΣ Α.Ε.","ΑΤΤΙΚΗΣ","Γέρακα του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΚΑΣΕΡΙ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","30.11.2014 έως 29.11.2017","route","GEOMETRIC_CENTER"
36,"0104000020E61000000100000001010000009422E81EC8DC3740BBFC3D67C1014340",36,"59","Α.Β. ΒΑΣΙΛΟΠΟΥΛΟΣ Α.Ε.","ΑΤΤΙΚΗΣ","Γέρακα του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΜΑΝΟΥΡΙ","Π.Ο.Π.","εμπορία","30.11.2014 έως 29.11.2017","route","GEOMETRIC_CENTER"
37,"0104000020E61000000100000001010000009422E81EC8DC3740BBFC3D67C1014340",37,"60","Α.Β. ΒΑΣΙΛΟΠΟΥΛΟΣ Α.Ε.","ΑΤΤΙΚΗΣ","Γέρακα του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","εμπορία","30.11.2014 έως 29.11.2017","route","GEOMETRIC_CENTER"
38,"0104000020E61000000100000001010000009422E81EC8DC3740BBFC3D67C1014340",38,"61","Α.Β. ΒΑΣΙΛΟΠΟΥΛΟΣ Α.Ε.","ΑΤΤΙΚΗΣ","Γέρακα του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΓΡΑΒΙΕΡΑ ΝΑΞΟΥ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","30.11.2014 έως 29.11.2017","route","GEOMETRIC_CENTER"
39,"0104000020E61000000100000001010000009422E81EC8DC3740BBFC3D67C1014340",39,"62","Α.Β. ΒΑΣΙΛΟΠΟΥΛΟΣ Α.Ε.","ΑΤΤΙΚΗΣ","Γέρακα του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΛΑΔΟΤΥΡΙ ΜΥΤΙΛΗΝΗΣ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","30.11.2014 έως 29.11.2017","route","GEOMETRIC_CENTER"
40,"0104000020E6100000010000000101000000449149A1874B35404CA20337F7E84240",40,"64","ΑΒΡΑΜΟΠΟΥΛΟΥ ΖΩΙΤΣΑ","ΗΛΕΙΑΣ","Αμαλιάδα του Ν. Ηλείας","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","21.03.2017 έως 20.03.2020","locality","APPROXIMATE"
41,"0104000020E61000000100000001010000003F5CCD959C5A3540EE934847DE374340",41,"65","ΑΓΡ. ΑΛΙΕΥΤΙΚΟΣ ΣΥΝ. ""ΑΓ. ΕΙΡΗΝΗ""","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","Αιτωλικό του Ν. Αιτωλοακαρνανίας","Ελλάδα","ΑΥΓΟΤΑΡΑΧΟ","ΑΥΓΟΤΑΡΑΧΟ ΜΕΣΟΛΟΓΓΙΟΥ","Π.Ο.Π.","εμπορία","21.11.2013 έως 20.11.2016","locality","APPROXIMATE"
42,"0104000020E6100000010000000101000000AE6DE580B86C35403EAD4786C12F4340",42,"66","ΑΓΡ. ΑΛΙΕΥΤΙΚΟΣ ΣΥΝ. ""ΑΝΑΓΕΝΝΗΣΗ""","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","Μεσολόγγι του Ν. Αιτωλοκαρναρνίας","Ελλάδα","ΑΥΓΟΤΑΡΑΧΟ","ΑΥΓΟΤΑΡΑΧΟ ΜΕΣΟΛΟΓΓΙΟΥ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","25.08.2013 έως 24.08.2016","establishment","ROOFTOP"
43,"0104000020E6100000010000000101000000EDE35762546E3440E3D98AA2ACD54340",43,"67","ΑΓΡ. ΓΑΛ. ΣΥΝ/ΜΟΣ  ΦΙΛΙΑΤΩΝ-ΗΓΟΥΜΕΝΙΤΣΑΣ","ΘΕΣΠΡΩΤΙΑΣ","Φιλιάτες του Ν. Θεσπρωτίας","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","παραγωγή","20.02.2015 έως 19.02.2018","locality","APPROXIMATE"
