"legtype","agrarea","indic_ef","geo","time","values"
"TOTAL","TOTAL","HOLD_HOLD","FR72","2013",21480
"TOTAL","TOTAL","HOLD_HOLD","FR81","2013",27850
"TOTAL","TOTAL","HOLD_HOLD","FR82","2013",20840
"TOTAL","TOTAL","HOLD_HOLD","FR83","2013",2630
"TOTAL","TOTAL","HOLD_HOLD","FR91","2013",6960
"TOTAL","TOTAL","HOLD_HOLD","FR92","2013",2990
"TOTAL","TOTAL","HOLD_HOLD","FR93","2013",3020
"TOTAL","TOTAL","HOLD_HOLD","FR94","2013",7650
"TOTAL","TOTAL","HOLD_HOLD","HR03","2013",37000
"TOTAL","TOTAL","HOLD_HOLD","HR04","2013",120440
"TOTAL","TOTAL","HOLD_HOLD","HU10","2013",46240
"TOTAL","TOTAL","HOLD_HOLD","HU21","2013",45090
"TOTAL","TOTAL","HOLD_HOLD","HU22","2013",49550
"TOTAL","TOTAL","HOLD_HOLD","HU23","2013",61360
"TOTAL","TOTAL","HOLD_HOLD","HU31","2013",58410
"TOTAL","TOTAL","HOLD_HOLD","HU32","2013",124310
"TOTAL","TOTAL","HOLD_HOLD","HU33","2013",106380
"TOTAL","TOTAL","HOLD_HOLD","IE01","2013",73610
"TOTAL","TOTAL","HOLD_HOLD","IE02","2013",65980
"TOTAL","TOTAL","HOLD_HOLD","ITC1","2013",48940
"TOTAL","TOTAL","HOLD_HOLD","ITC2","2013",2180
"TOTAL","TOTAL","HOLD_HOLD","ITC3","2013",7900
"TOTAL","TOTAL","HOLD_HOLD","ITC4","2013",40440
"TOTAL","TOTAL","HOLD_HOLD","ITF1","2013",41690
"TOTAL","TOTAL","HOLD_HOLD","ITF2","2013",16950
"TOTAL","TOTAL","HOLD_HOLD","ITF3","2013",74360
"TOTAL","TOTAL","HOLD_HOLD","ITF4","2013",145470
"TOTAL","TOTAL","HOLD_HOLD","ITF5","2013",35330
"TOTAL","TOTAL","HOLD_HOLD","ITF6","2013",73070
"TOTAL","TOTAL","HOLD_HOLD","ITG1","2013",134730
"TOTAL","TOTAL","HOLD_HOLD","ITG2","2013",41350
"TOTAL","TOTAL","HOLD_HOLD","ITH1","2013",15430
"TOTAL","TOTAL","HOLD_HOLD","ITH2","2013",8360
"TOTAL","TOTAL","HOLD_HOLD","ITH3","2013",85190
"TOTAL","TOTAL","HOLD_HOLD","ITH4","2013",17860
"TOTAL","TOTAL","HOLD_HOLD","ITH5","2013",58670
"TOTAL","TOTAL","HOLD_HOLD","ITI1","2013",48620
"TOTAL","TOTAL","HOLD_HOLD","ITI2","2013",24930
"TOTAL","TOTAL","HOLD_HOLD","ITI3","2013",34600
"TOTAL","TOTAL","HOLD_HOLD","ITI4","2013",54290
"TOTAL","TOTAL","HOLD_HOLD","LT00","2013",171800
"TOTAL","TOTAL","HOLD_HOLD","LU00","2013",2080
"TOTAL","TOTAL","HOLD_HOLD","LV00","2013",81800
"TOTAL","TOTAL","HOLD_HOLD","MT00","2013",9360
"TOTAL","TOTAL","HOLD_HOLD","NL11","2013",3210
"TOTAL","TOTAL","HOLD_HOLD","NL12","2013",5500
"TOTAL","TOTAL","HOLD_HOLD","NL13","2013",3580
"TOTAL","TOTAL","HOLD_HOLD","NL21","2013",8280
"TOTAL","TOTAL","HOLD_HOLD","NL22","2013",11520
"TOTAL","TOTAL","HOLD_HOLD","NL23","2013",1800
"TOTAL","TOTAL","HOLD_HOLD","NL31","2013",2780
"TOTAL","TOTAL","HOLD_HOLD","NL32","2013",4590
"TOTAL","TOTAL","HOLD_HOLD","NL33","2013",6500
"TOTAL","TOTAL","HOLD_HOLD","NL34","2013",3200
"TOTAL","TOTAL","HOLD_HOLD","NL41","2013",11920
"TOTAL","TOTAL","HOLD_HOLD","NL42","2013",4590
"TOTAL","TOTAL","HOLD_HOLD","NO01","2013",2240
"TOTAL","TOTAL","HOLD_HOLD","NO02","2013",8270
"TOTAL","TOTAL","HOLD_HOLD","NO03","2013",7540
"TOTAL","TOTAL","HOLD_HOLD","NO04","2013",6330
"TOTAL","TOTAL","HOLD_HOLD","NO05","2013",9050
"TOTAL","TOTAL","HOLD_HOLD","NO06","2013",6310
"TOTAL","TOTAL","HOLD_HOLD","NO07","2013",3530
"TOTAL","TOTAL","HOLD_HOLD","PL11","2013",128680
