"legtype","agrarea","indic_ef","geo","time","values"
"TOTAL","TOTAL","AGRAREA_HA","FR71","2013",1507770
"TOTAL","TOTAL","AGRAREA_HA","FR72","2013",1426760
"TOTAL","TOTAL","AGRAREA_HA","FR81","2013",1002670
"TOTAL","TOTAL","AGRAREA_HA","FR82","2013",802030
"TOTAL","TOTAL","AGRAREA_HA","FR83","2013",159000
"TOTAL","TOTAL","AGRAREA_HA","FR91","2013",30960
"TOTAL","TOTAL","AGRAREA_HA","FR92","2013",24170
"TOTAL","TOTAL","AGRAREA_HA","FR93","2013",19570
"TOTAL","TOTAL","AGRAREA_HA","FR94","2013",42200
"TOTAL","TOTAL","AGRAREA_HA","HR03","2013",467420
"TOTAL","TOTAL","AGRAREA_HA","HR04","2013",1103790
"TOTAL","TOTAL","AGRAREA_HA","HU10","2013",269810
"TOTAL","TOTAL","AGRAREA_HA","HU21","2013",522280
"TOTAL","TOTAL","AGRAREA_HA","HU22","2013",512230
"TOTAL","TOTAL","AGRAREA_HA","HU23","2013",679470
"TOTAL","TOTAL","AGRAREA_HA","HU31","2013",544330
"TOTAL","TOTAL","AGRAREA_HA","HU32","2013",1023560
"TOTAL","TOTAL","AGRAREA_HA","HU33","2013",1104840
"TOTAL","TOTAL","AGRAREA_HA","IE01","2013",2269920
"TOTAL","TOTAL","AGRAREA_HA","IE02","2013",2689540
"TOTAL","TOTAL","AGRAREA_HA","ITC1","2013",948580
"TOTAL","TOTAL","AGRAREA_HA","ITC2","2013",52490
"TOTAL","TOTAL","AGRAREA_HA","ITC3","2013",37330
"TOTAL","TOTAL","AGRAREA_HA","ITC4","2013",922320
"TOTAL","TOTAL","AGRAREA_HA","ITF1","2013",424160
"TOTAL","TOTAL","AGRAREA_HA","ITF2","2013",174200
"TOTAL","TOTAL","AGRAREA_HA","ITF3","2013",509000
"TOTAL","TOTAL","AGRAREA_HA","ITF4","2013",1184540
"TOTAL","TOTAL","AGRAREA_HA","ITF5","2013",484630
"TOTAL","TOTAL","AGRAREA_HA","ITF6","2013",498400
"TOTAL","TOTAL","AGRAREA_HA","ITG1","2013",1326110
"TOTAL","TOTAL","AGRAREA_HA","ITG2","2013",1134540
"TOTAL","TOTAL","AGRAREA_HA","ITH1","2013",227900
"TOTAL","TOTAL","AGRAREA_HA","ITH2","2013",131410
"TOTAL","TOTAL","AGRAREA_HA","ITH3","2013",796250
"TOTAL","TOTAL","AGRAREA_HA","ITH4","2013",211130
"TOTAL","TOTAL","AGRAREA_HA","ITH5","2013",1034350
"TOTAL","TOTAL","AGRAREA_HA","ITI1","2013",691340
"TOTAL","TOTAL","AGRAREA_HA","ITI2","2013",300000
"TOTAL","TOTAL","AGRAREA_HA","ITI3","2013",442620
"TOTAL","TOTAL","AGRAREA_HA","ITI4","2013",567590
"TOTAL","TOTAL","AGRAREA_HA","LT00","2013",2861250
"TOTAL","TOTAL","AGRAREA_HA","LU00","2013",131040
"TOTAL","TOTAL","AGRAREA_HA","LV00","2013",1877720
"TOTAL","TOTAL","AGRAREA_HA","MT00","2013",10880
"TOTAL","TOTAL","AGRAREA_HA","NL11","2013",162960
"TOTAL","TOTAL","AGRAREA_HA","NL12","2013",226440
"TOTAL","TOTAL","AGRAREA_HA","NL13","2013",150220
"TOTAL","TOTAL","AGRAREA_HA","NL21","2013",198730
"TOTAL","TOTAL","AGRAREA_HA","NL22","2013",232440
"TOTAL","TOTAL","AGRAREA_HA","NL23","2013",88600
"TOTAL","TOTAL","AGRAREA_HA","NL31","2013",64470
"TOTAL","TOTAL","AGRAREA_HA","NL32","2013",128040
"TOTAL","TOTAL","AGRAREA_HA","NL33","2013",128640
"TOTAL","TOTAL","AGRAREA_HA","NL34","2013",122180
"TOTAL","TOTAL","AGRAREA_HA","NL41","2013",246900
"TOTAL","TOTAL","AGRAREA_HA","NL42","2013",97940
"TOTAL","TOTAL","AGRAREA_HA","NO01","2013",78990
"TOTAL","TOTAL","AGRAREA_HA","NO02","2013",208600
"TOTAL","TOTAL","AGRAREA_HA","NO03","2013",189890
"TOTAL","TOTAL","AGRAREA_HA","NO04","2013",130030
"TOTAL","TOTAL","AGRAREA_HA","NO05","2013",138750
"TOTAL","TOTAL","AGRAREA_HA","NO06","2013",160630
"TOTAL","TOTAL","AGRAREA_HA","NO07","2013",89380
"TOTAL","TOTAL","AGRAREA_HA","PL11","2013",968400
"TOTAL","TOTAL","AGRAREA_HA","PL12","2013",1842830
"TOTAL","TOTAL","AGRAREA_HA","PL21","2013",543640
"TOTAL","TOTAL","AGRAREA_HA","PL22","2013",357630
"TOTAL","TOTAL","AGRAREA_HA","PL31","2013",1363140
"TOTAL","TOTAL","AGRAREA_HA","PL32","2013",561220
"TOTAL","TOTAL","AGRAREA_HA","PL33","2013",491470
"TOTAL","TOTAL","AGRAREA_HA","PL34","2013",1058850
"TOTAL","TOTAL","AGRAREA_HA","PL41","2013",1722960
"TOTAL","TOTAL","AGRAREA_HA","PL42","2013",839070
"TOTAL","TOTAL","AGRAREA_HA","PL43","2013",413890
"TOTAL","TOTAL","AGRAREA_HA","PL51","2013",910730
"TOTAL","TOTAL","AGRAREA_HA","PL52","2013",520990
"TOTAL","TOTAL","AGRAREA_HA","PL61","2013",1039610
"TOTAL","TOTAL","AGRAREA_HA","PL62","2013",1048740
"TOTAL","TOTAL","AGRAREA_HA","PL63","2013",726690
"TOTAL","TOTAL","AGRAREA_HA","PT11","2013",646610
"TOTAL","TOTAL","AGRAREA_HA","PT15","2013",92230
"TOTAL","TOTAL","AGRAREA_HA","PT16","2013",558020
"TOTAL","TOTAL","AGRAREA_HA","PT17","2013",74370
"TOTAL","TOTAL","AGRAREA_HA","PT18","2013",2146510
"TOTAL","TOTAL","AGRAREA_HA","PT20","2013",118590
"TOTAL","TOTAL","AGRAREA_HA","PT30","2013",5260
"TOTAL","TOTAL","AGRAREA_HA","RO11","2013",1783180
"TOTAL","TOTAL","AGRAREA_HA","RO12","2013",1693990
"TOTAL","TOTAL","AGRAREA_HA","RO21","2013",1937080
"TOTAL","TOTAL","AGRAREA_HA","RO22","2013",2092500
"TOTAL","TOTAL","AGRAREA_HA","RO31","2013",2250950
"TOTAL","TOTAL","AGRAREA_HA","RO32","2013",75570
"TOTAL","TOTAL","AGRAREA_HA","RO41","2013",1574200
"TOTAL","TOTAL","AGRAREA_HA","RO42","2013",1648380
"TOTAL","TOTAL","AGRAREA_HA","SE11","2013",92000
"TOTAL","TOTAL","AGRAREA_HA","SE12","2013",786510
"TOTAL","TOTAL","AGRAREA_HA","SE21","2013",502900
"TOTAL","TOTAL","AGRAREA_HA","SE22","2013",535970
"TOTAL","TOTAL","AGRAREA_HA","SE23","2013",652920
"TOTAL","TOTAL","AGRAREA_HA","SE31","2013",254480
"TOTAL","TOTAL","AGRAREA_HA","SE32","2013",104450
"TOTAL","TOTAL","AGRAREA_HA","SE33","2013",106680
"TOTAL","TOTAL","AGRAREA_HA","SI01","2013",342480
"TOTAL","TOTAL","AGRAREA_HA","SI02","2013",143270
"TOTAL","TOTAL","AGRAREA_HA","SK01","2013",78640
"TOTAL","TOTAL","AGRAREA_HA","SK02","2013",817390
"TOTAL","TOTAL","AGRAREA_HA","SK03","2013",465740
"TOTAL","TOTAL","AGRAREA_HA","SK04","2013",539840
