"prod_bal","bal_item","geo","time","values"
"B2200","10HL","LU","1967",130
"B2200","10HL","NL","1967",0
"B2200","10HL","UK","1967",0
"B2200","10HL","BE","1966",3
"B2200","10HL","DEW","1966",5200
"B2200","10HL","DK","1966",0
"B2200","10HL","FR","1966",66967
"B2200","10HL","IE","1966",0
"B2200","10HL","LU","1966",113
"B2200","10HL","NL","1966",0
"B2200","10HL","UK","1966",0
"B2200","10HL","BE","1965",3
"B2200","10HL","DEW","1965",7185
"B2200","10HL","DK","1965",0
"B2200","10HL","FR","1965",61033
"B2200","10HL","IE","1965",0
"B2200","10HL","LU","1965",165
"B2200","10HL","NL","1965",0
"B2200","10HL","UK","1965",0
