"animals","unit","geo","time","values"
"A2000","THS_HD","EL22","2009",6.8
"A2000","THS_HD","EL23","2009",59.5
"A2000","THS_HD","EL24","2009",21.8
"A2000","THS_HD","EL25","2009",17.6
"A2000","THS_HD","EL30","2009",4
"A2000","THS_HD","EL41","2009",9.2
"A2000","THS_HD","EL42","2009",21.1
"A2000","THS_HD","EL43","2009",2.2
"A2000","THS_HD","EL51","2009",104.3
"A2000","THS_HD","EL52","2009",176
"A2000","THS_HD","EL53","2009",42.7
"A2000","THS_HD","EL54","2009",55.9
"A2000","THS_HD","EL61","2009",101.3
"A2000","THS_HD","EL62","2009",6.8
"A2000","THS_HD","EL63","2009",59.5
"A2000","THS_HD","EL64","2009",21.8
"A2000","THS_HD","EL65","2009",17.6
"A2000","THS_HD","EL11","2008",106.27
"A2000","THS_HD","EL12","2008",180.64
"A2000","THS_HD","EL13","2008",45.23
"A2000","THS_HD","EL14","2008",102.76
"A2000","THS_HD","EL21","2008",55.93
"A2000","THS_HD","EL22","2008",6.26
"A2000","THS_HD","EL23","2008",60.3
"A2000","THS_HD","EL24","2008",23.97
"A2000","THS_HD","EL25","2008",16.62
"A2000","THS_HD","EL30","2008",4.17
"A2000","THS_HD","EL41","2008",10.02
"A2000","THS_HD","EL42","2008",20.45
"A2000","THS_HD","EL43","2008",1.98
"A2000","THS_HD","EL51","2008",106.27
"A2000","THS_HD","EL52","2008",180.64
"A2000","THS_HD","EL53","2008",45.23
"A2000","THS_HD","EL54","2008",55.93
"A2000","THS_HD","EL61","2008",102.76
"A2000","THS_HD","EL62","2008",6.26
"A2000","THS_HD","EL63","2008",60.3
"A2000","THS_HD","EL64","2008",23.97
"A2000","THS_HD","EL65","2008",16.62
"A2000","THS_HD","EL11","2007",113.2
"A2000","THS_HD","EL12","2007",184.9
"A2000","THS_HD","EL13","2007",52.1
"A2000","THS_HD","EL14","2007",106.5
"A2000","THS_HD","EL21","2007",61.4
"A2000","THS_HD","EL22","2007",6.2
"A2000","THS_HD","EL23","2007",62.4
"A2000","THS_HD","EL24","2007",27
"A2000","THS_HD","EL25","2007",18.5
"A2000","THS_HD","EL30","2007",4.4
"A2000","THS_HD","EL41","2007",12.8
"A2000","THS_HD","EL42","2007",19.9
"A2000","THS_HD","EL43","2007",2.4
"A2000","THS_HD","EL51","2007",113.2
"A2000","THS_HD","EL52","2007",184.9
"A2000","THS_HD","EL53","2007",52.1
"A2000","THS_HD","EL54","2007",61.4
"A2000","THS_HD","EL61","2007",106.5
"A2000","THS_HD","EL62","2007",6.2
"A2000","THS_HD","EL63","2007",62.4
"A2000","THS_HD","EL64","2007",27
"A2000","THS_HD","EL65","2007",18.5
"A2000","THS_HD","EL11","2003",92.3
"A2000","THS_HD","EL12","2003",220.6
"A2000","THS_HD","EL13","2003",55.3
"A2000","THS_HD","EL14","2003",101.8
"A2000","THS_HD","EL21","2003",50
"A2000","THS_HD","EL22","2003",5.3
"A2000","THS_HD","EL23","2003",50.6
"A2000","THS_HD","EL24","2003",23.5
"A2000","THS_HD","EL25","2003",12.7
"A2000","THS_HD","EL30","2003",5.2
"A2000","THS_HD","EL41","2003",11.5
"A2000","THS_HD","EL42","2003",19.9
"A2000","THS_HD","EL43","2003",2
"A2000","THS_HD","EL51","2003",92.3
"A2000","THS_HD","EL52","2003",220.6
"A2000","THS_HD","EL53","2003",55.3
"A2000","THS_HD","EL54","2003",50
"A2000","THS_HD","EL61","2003",101.8
"A2000","THS_HD","EL62","2003",5.3
"A2000","THS_HD","EL63","2003",50.6
"A2000","THS_HD","EL64","2003",23.5
"A2000","THS_HD","EL65","2003",12.7
"A2000","THS_HD","EL11","2002",89.4
"A2000","THS_HD","EL12","2002",195.3
"A2000","THS_HD","EL13","2002",55.4
"A2000","THS_HD","EL14","2002",103.4
"A2000","THS_HD","EL21","2002",48.4
"A2000","THS_HD","EL22","2002",6.1
"A2000","THS_HD","EL23","2002",40.5
"A2000","THS_HD","EL24","2002",25.3
"A2000","THS_HD","EL25","2002",11.8
"A2000","THS_HD","EL30","2002",4.9
"A2000","THS_HD","EL41","2002",11.4
"A2000","THS_HD","EL42","2002",19.9
"A2000","THS_HD","EL43","2002",1.6
"A2000","THS_HD","EL51","2002",89.4
