"indic_ef","agrarea","geo","time","values"
"AGRAREA_HA","TOTAL","FR43","2013",669860
"AGRAREA_HA","TOTAL","FR51","2013",2092730
"AGRAREA_HA","TOTAL","FR52","2013",1643670
"AGRAREA_HA","TOTAL","FR53","2013",1721090
"AGRAREA_HA","TOTAL","FR61","2013",1454170
"AGRAREA_HA","TOTAL","FR62","2013",2543910
"AGRAREA_HA","TOTAL","FR63","2013",850390
"AGRAREA_HA","TOTAL","FR71","2013",1507770
"AGRAREA_HA","TOTAL","FR72","2013",1426760
"AGRAREA_HA","TOTAL","FR81","2013",1002670
"AGRAREA_HA","TOTAL","FR82","2013",802030
"AGRAREA_HA","TOTAL","FR83","2013",159000
"AGRAREA_HA","TOTAL","FR91","2013",30960
"AGRAREA_HA","TOTAL","FR92","2013",24170
"AGRAREA_HA","TOTAL","FR93","2013",19570
"AGRAREA_HA","TOTAL","FR94","2013",42200
"AGRAREA_HA","TOTAL","HR","2013",1571200
"AGRAREA_HA","TOTAL","HR03","2013",467420
"AGRAREA_HA","TOTAL","HR04","2013",1103790
"AGRAREA_HA","TOTAL","HU","2013",4656520
"AGRAREA_HA","TOTAL","HU10","2013",269810
"AGRAREA_HA","TOTAL","HU21","2013",522280
"AGRAREA_HA","TOTAL","HU22","2013",512230
"AGRAREA_HA","TOTAL","HU23","2013",679470
"AGRAREA_HA","TOTAL","HU31","2013",544330
"AGRAREA_HA","TOTAL","HU32","2013",1023560
"AGRAREA_HA","TOTAL","HU33","2013",1104840
"AGRAREA_HA","TOTAL","IE","2013",4959450
"AGRAREA_HA","TOTAL","IE01","2013",2269920
"AGRAREA_HA","TOTAL","IE02","2013",2689540
"AGRAREA_HA","TOTAL","IT","2013",12098890
"AGRAREA_HA","TOTAL","ITC1","2013",948580
"AGRAREA_HA","TOTAL","ITC2","2013",52490
"AGRAREA_HA","TOTAL","ITC3","2013",37330
"AGRAREA_HA","TOTAL","ITC4","2013",922320
"AGRAREA_HA","TOTAL","ITF1","2013",424160
"AGRAREA_HA","TOTAL","ITF2","2013",174200
"AGRAREA_HA","TOTAL","ITF3","2013",509000
"AGRAREA_HA","TOTAL","ITF4","2013",1184540
"AGRAREA_HA","TOTAL","ITF5","2013",484630
"AGRAREA_HA","TOTAL","ITF6","2013",498400
"AGRAREA_HA","TOTAL","ITG1","2013",1326110
"AGRAREA_HA","TOTAL","ITG2","2013",1134540
"AGRAREA_HA","TOTAL","ITH1","2013",227900
"AGRAREA_HA","TOTAL","ITH2","2013",131410
"AGRAREA_HA","TOTAL","ITH3","2013",796250
"AGRAREA_HA","TOTAL","ITH4","2013",211130
"AGRAREA_HA","TOTAL","ITH5","2013",1034350
"AGRAREA_HA","TOTAL","ITI1","2013",691340
"AGRAREA_HA","TOTAL","ITI2","2013",300000
"AGRAREA_HA","TOTAL","ITI3","2013",442620
"AGRAREA_HA","TOTAL","ITI4","2013",567590
"AGRAREA_HA","TOTAL","LT","2013",2861250
"AGRAREA_HA","TOTAL","LT00","2013",2861250
"AGRAREA_HA","TOTAL","LU","2013",131040
"AGRAREA_HA","TOTAL","LU00","2013",131040
"AGRAREA_HA","TOTAL","LV","2013",1877720
"AGRAREA_HA","TOTAL","LV00","2013",1877720
"AGRAREA_HA","TOTAL","MT","2013",10880
"AGRAREA_HA","TOTAL","MT00","2013",10880
"AGRAREA_HA","TOTAL","NL","2013",1847570
"AGRAREA_HA","TOTAL","NL11","2013",162960
"AGRAREA_HA","TOTAL","NL12","2013",226440
"AGRAREA_HA","TOTAL","NL13","2013",150220
"AGRAREA_HA","TOTAL","NL21","2013",198730
"AGRAREA_HA","TOTAL","NL22","2013",232440
"AGRAREA_HA","TOTAL","NL23","2013",88600
"AGRAREA_HA","TOTAL","NL31","2013",64470
"AGRAREA_HA","TOTAL","NL32","2013",128040
"AGRAREA_HA","TOTAL","NL33","2013",128640
"AGRAREA_HA","TOTAL","NL34","2013",122180
"AGRAREA_HA","TOTAL","NL41","2013",246900
"AGRAREA_HA","TOTAL","NL42","2013",97940
"AGRAREA_HA","TOTAL","NO","2013",987120
"AGRAREA_HA","TOTAL","NO01","2013",77320
"AGRAREA_HA","TOTAL","NO02","2013",204030
"AGRAREA_HA","TOTAL","NO03","2013",189030
"AGRAREA_HA","TOTAL","NO04","2013",129260
"AGRAREA_HA","TOTAL","NO05","2013",137700
"AGRAREA_HA","TOTAL","NO06","2013",160560
