"animals","unit","geo","time","values"
"A2000","THS_HD","FRE1","2017",679.62
"A2000","THS_HD","FRE2","2017",495.36
"A2000","THS_HD","FRF","2017",1633.38
"A2000","THS_HD","FRF1","2017",168.93
"A2000","THS_HD","FRF2","2017",569.78
"A2000","THS_HD","FRF3","2017",894.67
"A2000","THS_HD","FRG","2017",2446.58
"A2000","THS_HD","FRG0","2017",2446.58
"A2000","THS_HD","FRH","2017",2000.08
"A2000","THS_HD","FRH0","2017",2000.08
"A2000","THS_HD","FRI","2017",2435.82
"A2000","THS_HD","FRI1","2017",639.96
"A2000","THS_HD","FRI2","2017",1070.12
"A2000","THS_HD","FRI3","2017",725.74
"A2000","THS_HD","FRJ","2017",1389.72
"A2000","THS_HD","FRJ1","2017",216.46
"A2000","THS_HD","FRJ2","2017",1173.26
"A2000","THS_HD","FRK","2017",2563.78
"A2000","THS_HD","FRK1","2017",1564.66
"A2000","THS_HD","FRK2","2017",999.12
"A2000","THS_HD","FRL","2017",69.2
"A2000","THS_HD","FRL0","2017",69.2
"A2000","THS_HD","FRM","2017",61.84
"A2000","THS_HD","FRM0","2017",61.84
"A2000","THS_HD","FRY","2017",146.33
"A2000","THS_HD","FRY1","2017",45.12
"A2000","THS_HD","FRY2","2017",18.5
"A2000","THS_HD","FRY3","2017",31.68
"A2000","THS_HD","FRY4","2017",30.34
"A2000","THS_HD","FRY5","2017",20.71
"A2000","THS_HD","HR03","2017",46.7
"A2000","THS_HD","HR04","2017",404
"A2000","THS_HD","HU1","2017",79
"A2000","THS_HD","HU10","2017",79
"A2000","THS_HD","HU11","2017",7
"A2000","THS_HD","HU12","2017",72
"A2000","THS_HD","HU2","2017",334
"A2000","THS_HD","HU21","2017",112
"A2000","THS_HD","HU22","2017",116
"A2000","THS_HD","HU23","2017",106
"A2000","THS_HD","HU3","2017",457
"A2000","THS_HD","HU31","2017",84
"A2000","THS_HD","HU32","2017",196
"A2000","THS_HD","HU33","2017",177
"A2000","THS_HD","IE0","2017",6673.59
"A2000","THS_HD","IE04","2017",1602.8
"A2000","THS_HD","IE05","2017",3588.08
"A2000","THS_HD","IE06","2017",1482.72
"A2000","THS_HD","IS0","2017",80.9
"A2000","THS_HD","IS00","2017",80.9
"A2000","THS_HD","ITC","2017",2278.41
"A2000","THS_HD","ITC1","2017",780.96
"A2000","THS_HD","ITC2","2017",29.36
"A2000","THS_HD","ITC3","2017",16.43
"A2000","THS_HD","ITC4","2017",1451.67
"A2000","THS_HD","ITF","2017",1108.62
"A2000","THS_HD","ITF1","2017",67.39
"A2000","THS_HD","ITF2","2017",58.47
"A2000","THS_HD","ITF3","2017",513.55
"A2000","THS_HD","ITF4","2017",232.18
"A2000","THS_HD","ITF5","2017",102.29
"A2000","THS_HD","ITF6","2017",134.74
"A2000","THS_HD","ITG","2017",639
"A2000","THS_HD","ITG1","2017",367.98
"A2000","THS_HD","ITG2","2017",271.02
"A2000","THS_HD","ITH","2017",1848.46
"A2000","THS_HD","ITH1","2017",151.26
"A2000","THS_HD","ITH2","2017",50.63
"A2000","THS_HD","ITH3","2017",836.85
"A2000","THS_HD","ITH4","2017",128.31
"A2000","THS_HD","ITH5","2017",681.42
"A2000","THS_HD","ITI","2017",475.32
"A2000","THS_HD","ITI1","2017",82.08
"A2000","THS_HD","ITI2","2017",53.43
"A2000","THS_HD","ITI3","2017",58.46
"A2000","THS_HD","ITI4","2017",281.35
"A2000","THS_HD","LT0","2017",676.3
"A2000","THS_HD","LT00","2017",676.3
"A2000","THS_HD","LT01","2017",30.4
"A2000","THS_HD","LT02","2017",646.5
"A2000","THS_HD","LU0","2017",198.07
"A2000","THS_HD","LU00","2017",198.07
"A2000","THS_HD","LV0","2017",405.82
"A2000","THS_HD","LV00","2017",405.82
"A2000","THS_HD","ME0","2017",87
"A2000","THS_HD","ME00","2017",87
"A2000","THS_HD","MK0","2017",255
"A2000","THS_HD","MK00","2017",255
"A2000","THS_HD","MT0","2017",14.18
"A2000","THS_HD","MT00","2017",14.18
"A2000","THS_HD","NL1","2017",1006
"A2000","THS_HD","NL11","2017",208
"A2000","THS_HD","NL12","2017",559
"A2000","THS_HD","NL13","2017",240
"A2000","THS_HD","NL2","2017",1607
"A2000","THS_HD","NL21","2017",639
"A2000","THS_HD","NL22","2017",896
"A2000","THS_HD","NL23","2017",72
"A2000","THS_HD","NL3","2017",605
"A2000","THS_HD","NL31","2017",195
"A2000","THS_HD","NL32","2017",166
"A2000","THS_HD","NL33","2017",188
"A2000","THS_HD","NL34","2017",57
"A2000","THS_HD","NL4","2017",811
"A2000","THS_HD","NL41","2017",667
"A2000","THS_HD","NL42","2017",145
"A2000","THS_HD","PL2","2017",282.8
"A2000","THS_HD","PL21","2017",162.6
"A2000","THS_HD","PL22","2017",120.1
"A2000","THS_HD","PL4","2017",1169.5
"A2000","THS_HD","PL41","2017",999.3
"A2000","THS_HD","PL42","2017",92.5
"A2000","THS_HD","PL43","2017",77.6
"A2000","THS_HD","PL5","2017",223.1
"A2000","THS_HD","PL51","2017",100.3
"A2000","THS_HD","PL52","2017",122.9
"A2000","THS_HD","PL6","2017",1181.1
"A2000","THS_HD","PL61","2017",518.7
"A2000","THS_HD","PL62","2017",452.2
"A2000","THS_HD","PL63","2017",210.2
"A2000","THS_HD","PL7","2017",621.9
"A2000","THS_HD","PL71","2017",465
"A2000","THS_HD","PL72","2017",157
"A2000","THS_HD","PL8","2017",1435.1
"A2000","THS_HD","PL81","2017",361.7
"A2000","THS_HD","PL82","2017",80.5
"A2000","THS_HD","PL84","2017",992.8
"A2000","THS_HD","PL9","2017",1122.3
"A2000","THS_HD","PL91","2017",57
"A2000","THS_HD","PL92","2017",1065.3
"A2000","THS_HD","PT1","2017",1388.03
"A2000","THS_HD","PT11","2017",315.05
"A2000","THS_HD","PT15","2017",9.87
"A2000","THS_HD","PT16","2017",198.32
"A2000","THS_HD","PT17","2017",88.02
"A2000","THS_HD","PT18","2017",776.77
"A2000","THS_HD","PT2","2017",278.19
"A2000","THS_HD","PT20","2017",278.19
"A2000","THS_HD","PT3","2017",3.8
"A2000","THS_HD","PT30","2017",3.8
"A2000","THS_HD","RO1","2017",713.6
"A2000","THS_HD","RO11","2017",366.2
